source_product,recommended_product,times_co_purchased
European Cucumber,Organic Garlic,97
European Cucumber,Large Yellow Flesh Nectarine,26
European Cucumber,Butterhead Lettuce,30
European Cucumber,Boneless Skinless Chicken Breasts,58
European Cucumber,Limes,187
European Cucumber,Organic Roma Tomato,25
European Cucumber,Organic Blackberries,43
European Cucumber,Half & Half,31
European Cucumber,Fresh Cauliflower,85
European Cucumber,Organic Black Beans,27
European Cucumber,Uncured Genoa Salami,43
European Cucumber,Organic Lacinato (Dinosaur) Kale,38
European Cucumber,Organic Whole Milk,107
European Cucumber,Organic Raspberries,97
European Cucumber,Organic Fuji Apple,75
European Cucumber,Bunched Cilantro,71
European Cucumber,No Salt Added Black Beans,29
European Cucumber,Michigan Organic Kale,73
European Cucumber,Roma Tomato,71
European Cucumber,Original Hummus,55
European Cucumber,Shredded Mild Cheddar Cheese,34
European Cucumber,Extra Virgin Olive Oil,54
European Cucumber,Fresh Ginger Root,42
European Cucumber,Organic Cilantro,67
European Cucumber,Classic Hummus,28
European Cucumber,Grated Parmesan,45
European Cucumber,Organic Italian Parsley Bunch,67
European Cucumber,Organic Baby Broccoli,27
European Cucumber,Garlic,62
European Cucumber,Red Vine Tomato,105
European Cucumber,Lime Sparkling Water,26
European Cucumber,Organic Unsweetened Almond Milk,25
European Cucumber,Organic Gala Apples,47
European Cucumber,Organic Spring Mix,42
European Cucumber,Ground Turkey Breast,28
European Cucumber,Asparation/Broccolini/Baby Broccoli,28
European Cucumber,Organic Blueberries,70
European Cucumber,Gala Apples,37
European Cucumber,Total Greek Strained Yogurt,27
European Cucumber,Organic Granny Smith Apple,35
European Cucumber,Organic Kiwi,38
European Cucumber,Organic Dill,36
European Cucumber,Vine Ripe Tomatoes,35
European Cucumber,Feta Cheese Crumbles,49
European Cucumber,Organic Grape Tomatoes,108
European Cucumber,Organic Romaine Lettuce,57
European Cucumber,Organic Mexican Blend Finely Shredded Cheese,29
European Cucumber,Bartlett Pears,41
European Cucumber,Organic Tomato Cluster,45
European Cucumber,Organic Baby Carrots,69
European Cucumber,Organic Extra Firm Tofu,37
European Cucumber,Organic Sour Cream,26
European Cucumber,Unsalted Butter,43
European Cucumber,Whipped Cream Cheese,37
European Cucumber,Organic Bartlett Pear,32
European Cucumber,Unsweetened Vanilla Almond Milk,27
European Cucumber,Organic Bell Pepper,32
European Cucumber,Cherubs Heavenly Salad Tomatoes,67
European Cucumber,Organic Basil,50
European Cucumber,Organic Peeled Whole Baby Carrots,76
European Cucumber,Red Onion,103
European Cucumber,Organic Small Bunch Celery,74
European Cucumber,Sparkling Water Grapefruit,53
European Cucumber,Bicolor Sweet Corn,27
European Cucumber,Organic Zucchini,92
European Cucumber,Honeycrisp Apple,108
European Cucumber,Organic Ginger Root,39
European Cucumber,Total 0% Nonfat Greek Yogurt,29
European Cucumber,Asparagus,73
European Cucumber,Organic Hass Avocado,167
European Cucumber,Large Lemon,180
European Cucumber,Organic Avocado,165
European Cucumber,Organic Garnet Sweet Potato (Yam),39
European Cucumber,Organic Half & Half,63
Wild Albacore Tuna No Salt Added,Organic Lemon,45
Wild Albacore Tuna No Salt Added,Apple Honeycrisp Organic,25
Wild Albacore Tuna No Salt Added,Bag of Organic Bananas,88
Wild Albacore Tuna No Salt Added,Organic Strawberries,59
Wild Albacore Tuna No Salt Added,Organic Baby Spinach,64
Wild Albacore Tuna No Salt Added,Organic Yellow Onion,29
Wild Albacore Tuna No Salt Added,Banana,47
Wild Albacore Tuna No Salt Added,Organic Garlic,28
Wild Albacore Tuna No Salt Added,Limes,31
Wild Albacore Tuna No Salt Added,Organic Raspberries,42
Wild Albacore Tuna No Salt Added,Organic Cucumber,29
Wild Albacore Tuna No Salt Added,Organic Cilantro,27
Wild Albacore Tuna No Salt Added,Organic Blueberries,25
Wild Albacore Tuna No Salt Added,Organic Grape Tomatoes,28
Wild Albacore Tuna No Salt Added,Organic Small Bunch Celery,43
Wild Albacore Tuna No Salt Added,Organic Zucchini,30
Wild Albacore Tuna No Salt Added,Organic Hass Avocado,82
Wild Albacore Tuna No Salt Added,Organic Avocado,33
English Muffins,Soda,39
English Muffins,Mozzarella String Cheese,27
English Muffins,Clementines,59
English Muffins,Organic Simply Naked Pita Chips,26
English Muffins,Hass Avocados,45
English Muffins,Bag of Organic Bananas,68
English Muffins,Organic Strawberries,25
English Muffins,Reduced Fat 2% Milk,30
English Muffins,Trail Mix,35
English Muffins,0% Greek Strained Yogurt,34
English Muffins,Sparkling Mineral Water,32
English Muffins,Raspberries,33
English Muffins,Organic Half & Half,25
Petit Suisse Fruit,Apple Honeycrisp Organic,29
Petit Suisse Fruit,Bag of Organic Bananas,67
Petit Suisse Fruit,Organic Strawberries,61
Petit Suisse Fruit,Organic Baby Spinach,35
Petit Suisse Fruit,Banana,54
Petit Suisse Fruit,Organic Whole Milk,36
Petit Suisse Fruit,Organic Raspberries,44
Petit Suisse Fruit,Organic Hass Avocado,52
Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,Soda,30
Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,Clementines,39
Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,Hass Avocados,36
Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,Bag of Organic Bananas,55
Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,Strawberries,33
Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,0% Greek Strained Yogurt,31
Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,Raspberries,29
Restaurant Style Organic Chia & Quinoa Tortilla Chips,Bag of Organic Bananas,58
Restaurant Style Organic Chia & Quinoa Tortilla Chips,Organic Strawberries,48
Restaurant Style Organic Chia & Quinoa Tortilla Chips,Organic Baby Spinach,40
Restaurant Style Organic Chia & Quinoa Tortilla Chips,Banana,60
Restaurant Style Organic Chia & Quinoa Tortilla Chips,Limes,31
Restaurant Style Organic Chia & Quinoa Tortilla Chips,Organic Hass Avocado,42
Restaurant Style Organic Chia & Quinoa Tortilla Chips,Organic Avocado,37
Nectarines,Granny Smith Apples,29
Nectarines,Black Plum,30
Nectarines,Bag of Organic Bananas,95
Nectarines,Strawberries,38
Nectarines,Organic Strawberries,42
Nectarines,Organic Baby Spinach,27
Nectarines,Banana,115
Nectarines,White Peach,54
Nectarines,Limes,31
Nectarines,Organic Raspberries,34
Nectarines,Organic Fuji Apple,32
Nectarines,Bartlett Pears,25
Nectarines,Organic Hass Avocado,30
Nectarines,Large Lemon,34
Nectarines,Cucumber Kirby,25
100% Recycled Aluminum Foil,Bag of Organic Bananas,45
100% Recycled Aluminum Foil,Organic Strawberries,30
100% Recycled Aluminum Foil,Organic Baby Spinach,44
100% Recycled Aluminum Foil,Banana,53
100% Recycled Aluminum Foil,Organic Zucchini,27
100% Recycled Aluminum Foil,Organic Hass Avocado,41
100% Recycled Aluminum Foil,Large Lemon,27
Organic Mini Homestyle Waffles,Apple Honeycrisp Organic,38
Organic Mini Homestyle Waffles,Organic Red Bell Pepper,25
Organic Mini Homestyle Waffles,Bag of Organic Bananas,111
Organic Mini Homestyle Waffles,Strawberries,28
Organic Mini Homestyle Waffles,Organic Large Extra Fancy Fuji Apple,25
Organic Mini Homestyle Waffles,Organic Strawberries,118
Organic Mini Homestyle Waffles,Organic Baby Spinach,50
Organic Mini Homestyle Waffles,Organic Whole String Cheese,38
Organic Mini Homestyle Waffles,Organic D'Anjou Pears,27
Organic Mini Homestyle Waffles,Organic Yellow Onion,32
Organic Mini Homestyle Waffles,Aged White Cheddar Baked Rice & Corn Puffs Gluten Free Lunch Packs,26
Organic Mini Homestyle Waffles,Banana,105
Organic Mini Homestyle Waffles,Organic Garlic,25
Organic Mini Homestyle Waffles,Limes,35
Organic Mini Homestyle Waffles,Organic Whole Milk,64
Organic Mini Homestyle Waffles,Organic Raspberries,50
